colision_fecha,colision_calle,colision_cruce,colision_long,colision_lat,colision_tipoincidente,colision_tipoaccidentediverso,indiv_estadoalcoholico,indiv_estatus,indiv_Deceso
2014-12-21T16:33:00Z,AV. CONSTITUCION  ,GREGORIO TORRES,-100.295042,25.670349,ALCANCE,ALCANCE,0,0,0
2014-12-21T16:23:00Z,AV. CHAPULTEPEC,AGUSTIN LARA,-100.281137,25.666908,LATERAL,LATERAL,0,0,0
2014-12-21T19:00:00Z,AV. GARZA SADA  ,AV. REVOLUCION,-100.27466,25.624154,ALCANCE,ALCANCE,0,0,0
2014-12-21T15:03:00Z,AV. GARZA SADA  ,AV. LAZARO CARDENAS,-100.271304,25.614365,ALCANCE,ALCANCE,0,0,0
2014-12-21T19:19:00Z,IRAZU,POTOSI,-100.363619,25.724682,LATERAL,LATERAL,0,0,0
2014-12-21T15:01:00Z,AV. ALFONSO REYES,JUNCO DE LA VEGA,-100.278239,25.642545,FRONTAL,FRONTAL,0,0,0
2014-12-21T17:12:00Z,AV. LINCOLN  ,AV. AZTLAN,-100.393252,25.753426,ALCANCE,ALCANCE,0,0,0
2014-12-21T13:55:00Z,AV. FIDEL VELAZQUEZ  ,NARCISO MENDOZA,-100.3247,25.724899,CRUCERO,CRUCERO,0,0,0
2014-12-21T18:28:00Z,AV. BERNARDO REYES,,-100.325488,25.700093,LATERAL,LATERAL,0,0,0
2014-12-21T15:50:00Z,AV. PASEO DE LOS LEONES  ,AV. CUMBRES ELITE,-100.407043,25.739502,ALCANCE,ALCANCE,0,0,0
2014-12-21T16:21:00Z,LIBERTAD,ZACATECAZ,-100.315779,25.658761,LATERAL,LATERAL,0,0,0
2014-12-21T18:20:00Z,AV. MORONES PRIETO  ,AV. REVOLUCION,-100.285629,25.671339,LATERAL,LATERAL,0,0,0
2014-12-21T17:04:00Z,PASEO DE LA REFORMA,PLAZA LAS VIZCAINAS,-100.268508,25.602495,REVERSA,REVERSA,0,0,0
2014-12-21T20:43:00Z,AV. INSURGENTES,JESUS BANAVIDES,-100.35715,25.681,ALCANCE,ALCANCE,0,0,0
2014-12-21T16:00:00Z,AV. CUAUHTEMOC,REFORMA,-100.316997,25.685126,LATERAL,LATERAL,0,0,0
2014-12-21T16:35:00Z,AV. PASEO DE LOS LEONES  ,10A AVENIDA,-100.360334,25.698949,LATERAL,LATERAL,0,0,0
2014-12-21T14:14:00Z,AV. PINO SUAREZ,AV. COLON,-100.317772,25.686252,LATERAL,LATERAL,0,0,0
2014-12-21T19:17:00Z,AV. VENUSTIANO CARRANZA  ,LUIS GONZALEZ,-100.328012,25.697885,ALCANCE,ALCANCE,0,0,0
2014-12-21T16:40:00Z,AV. JUAREZ,HIDALGO,-100.315617,25.667051,ALCANCE,ALCANCE,0,0,0
